"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Cód.";"Município";"Ano"
"1703206";"Bernardo Sayão (TO)";"102684,05"
"1703305";"Bom Jesus do Tocantins (TO)";"139409,76"
"1703602";"Brasilândia do Tocantins (TO)";"75634,40"
"1703701";"Brejinho de Nazaré (TO)";"272944,89"
"1703800";"Buriti do Tocantins (TO)";"161641,17"
"1703826";"Cachoeirinha (TO)";"58546,97"
"1703842";"Campos Lindos (TO)";"1004930,54"
"1703867";"Cariri do Tocantins (TO)";"517714,91"
"1703883";"Carmolândia (TO)";"69222,48"
"1703891";"Carrasco Bonito (TO)";"50561,10"
"1703909";"Caseara (TO)";"389492,61"
"1704105";"Centenário (TO)";"64556,88"
"1704600";"Chapada de Areia (TO)";"39823,90"
"1705102";"Chapada da Natividade (TO)";"148973,23"
"1705508";"Colinas do Tocantins (TO)";"862138,74"
"1705557";"Combinado (TO)";"76524,50"
"1705607";"Conceição do Tocantins (TO)";"67828,90"
"1706001";"Couto Magalhães (TO)";"203473,02"
"1706100";"Cristalândia (TO)";"177293,55"
"1706258";"Crixás do Tocantins (TO)";"78644,71"
"1706506";"Darcinópolis (TO)";"241931,66"
"1707009";"Dianópolis (TO)";"644829,49"
"1707108";"Divinópolis do Tocantins (TO)";"249235,17"
"1707207";"Dois Irmãos do Tocantins (TO)";"216149,33"
"1707306";"Dueré (TO)";"204764,51"
"1707405";"Esperantina (TO)";"118724,00"
"1707553";"Fátima (TO)";"89100,07"
"1707652";"Figueirópolis (TO)";"256752,18"
"1707702";"Filadélfia (TO)";"129323,23"
"1708205";"Formoso do Araguaia (TO)";"1414038,41"
"1708254";"Tabocão (TO)";"232897,50"
"1708304";"Goianorte (TO)";"193502,30"
"1709005";"Goiatins (TO)";"230924,17"
"1709302";"Guaraí (TO)";"880402,90"
"1709500";"Gurupi (TO)";"2648420,39"
"1709807";"Ipueiras (TO)";"47771,52"
"1710508";"Itacajá (TO)";"186259,82"
"1710706";"Itaguatins (TO)";"82610,66"
"1710904";"Itapiratins (TO)";"171522,11"
"1711100";"Itaporã do Tocantins (TO)";"69980,11"
"1711506";"Jaú do Tocantins (TO)";"97864,72"
"1711803";"Juarina (TO)";"44394,94"
"1711902";"Lagoa da Confusão (TO)";"998445,28"
"1711951";"Lagoa do Tocantins (TO)";"89428,78"
"1712009";"Lajeado (TO)";"64404,78"
"1712157";"Lavandeira (TO)";"37869,67"
"1712405";"Lizarda (TO)";"66331,66"
"1712454";"Luzinópolis (TO)";"71179,56"
"1712504";"Marianópolis do Tocantins (TO)";"252330,72"
"1712702";"Mateiros (TO)";"252360,28"
"1712801";"Maurilândia do Tocantins (TO)";"55910,56"
"1713205";"Miracema do Tocantins (TO)";"642002,99"
"1713304";"Miranorte (TO)";"390325,02"
"1713601";"Monte do Carmo (TO)";"296287,97"
"1713700";"Monte Santo do Tocantins (TO)";"75004,48"
"1713809";"Palmeiras do Tocantins (TO)";"95357,46"
"1713957";"Muricilândia (TO)";"69464,96"
"1714203";"Natividade (TO)";"247340,19"
"1714302";"Nazaré (TO)";"58139,38"
"1714880";"Nova Olinda (TO)";"320311,12"
"1715002";"Nova Rosalândia (TO)";"100914,91"
"1715101";"Novo Acordo (TO)";"84723,41"
"1715150";"Novo Alegre (TO)";"35521,07"
"1715259";"Novo Jardim (TO)";"42671,73"
"1715507";"Oliveira de Fátima (TO)";"29468,61"
"1715705";"Palmeirante (TO)";"185349,02"
"1715754";"Palmeirópolis (TO)";"170117,98"
"1716109";"Paraíso do Tocantins (TO)";"1513693,49"
